"Organism","Limb_width","Limb_length","Observer","volume","Sp"
"species2",2.42680098338375,12.8686123514741,"Elle",59.523700724012,"s2"
"species5",2.8475457950158,6.12244758458035,"Ryan",38.9902833770979,"s5"
"species3",1.56010506339267,11.3823854257399,"Claire",21.7585956491931,"s3"
"species2",1.78480229081906,7.21116610340393,"Ryan",18.0416232723962,"s2"
"species2",1.84777695904218,12.0274777857139,"Claire",32.2525115559829,"s2"
"species5",1.56145989514806,7.36399387009192,"Claire",14.1014888417242,"s5"
"species5",2.37335805383418,15.3025389740491,"Ryan",67.6986332011816,"s5"
"species3",1.75555607157734,7.35420223852438,"Claire",17.8014287508043,"s3"
"species3",2.13103521171456,2.19329624305788,"Elle",7.82291168806271,"s3"
"species3",2.77239441333397,7.64385824303371,"Elle",46.1437128155432,"s3"
"species2",2.54940743640885,1.40831843883933,"Claire",7.18901257656164,"s2"
"species1",2.05774339194442,8.60908942938929,"Ryan",28.6305395163758,"s1"
"species1",2.36027235849914,0.75535441286333,"Ryan",3.30494999442315,"s1"
"species5",1.22946584762161,12.3727517270104,"Claire",14.6888947298188,"s5"
"species4",2.55088228587902,8.1169534273075,"Elle",41.482390106574,"s4"
"species1",1.13625433320637,6.83363327932828,"Claire",6.92935251036385,"s1"
"species4",1.81302202808518,16.8326188782919,"Elle",43.4557983724037,"s4"
"species1",1.33697352437926,11.5694413134307,"Claire",16.2423132904279,"s1"
"species5",1.74095277407746,14.0324959321444,"Elle",33.4040240084742,"s5"
"species1",2.17638630289421,8.18714987673708,"Ryan",30.4575236552913,"s1"
"species1",1.86450392563333,6.37011537792676,"Ryan",17.3925709655569,"s1"
"species3",1.91142193731923,6.85769647813316,"Ryan",19.6780143458955,"s3"
"species3",1.55881322513184,10.4521509017896,"Claire",19.947281474848,"s3"
"species3",2.76678010604535,19.3354101762204,"Elle",116.249892380073,"s3"
"species5",1.11092650007039,8.55000990717352,"Elle",8.28756890863428,"s5"
"species3",2.47806793318227,13.8708171959544,"Elle",66.898802709958,"s3"
"species4",2.20591239354414,8.10173601166177,"Elle",30.963103945684,"s4"
"species3",0.401025006572098,8.46454875737716,"Ryan",1.06914498098549,"s3"
"species3",2.22008821293906,13.2092393310238,"Elle",51.1338098896441,"s3"
"species5",2.51470384922939,6.94058990497544,"Claire",34.4714822932069,"s5"
"species2",1.9522193261027,7.74157664541706,"Ryan",23.1726933638006,"s2"
"species4",1.16522506348394,12.7188333579687,"Elle",13.5630322272486,"s4"
